Five-Year Age Groups Code	Race Code	Hispanic Origin Code	State Code	Gender Code	Deaths	Population
10-14	2106-3	2186-2	12	F	31	256824
10-14	2106-3	2186-2	12	M	36	270868
10-14	2054-5	2186-2	13	F	25	121910
10-14	2054-5	2186-2	13	M	24	123594
10-14	2106-3	2186-2	13	F	25	166049
10-14	2106-3	2186-2	13	M	37	174677
10-14	2106-3	2186-2	16	M	16	49592
10-14	2106-3	2135-2	17	F	13	91859
10-14	2106-3	2135-2	17	M	15	95488
10-14	2054-5	2186-2	17	F	15	67743
10-14	2054-5	2186-2	17	M	26	69290
10-14	2106-3	2186-2	17	F	17	220452
10-14	2106-3	2186-2	17	M	30	232174
10-14	2054-5	2186-2	18	M	10	28464
10-14	2106-3	2186-2	18	F	28	161803
10-14	2106-3	2186-2	18	M	41	170977
10-14	2106-3	2186-2	19	F	11	80743
10-14	2106-3	2186-2	19	M	16	84796
10-14	2106-3	2186-2	20	M	12	71481
10-14	2106-3	2186-2	21	F	19	112686
10-14	2106-3	2186-2	21	M	30	118558
10-14	2054-5	2186-2	22	F	10	57535
10-14	2054-5	2186-2	22	M	27	59556
10-14	2106-3	2186-2	22	F	18	79806
10-14	2106-3	2186-2	22	M	18	83755
10-14	2054-5	2186-2	24	M	12	63187
10-14	2106-3	2186-2	24	F	10	86919
10-14	2106-3	2186-2	24	M	12	90522
10-14	2106-3	2186-2	25	F	12	131237
10-14	2106-3	2186-2	25	M	15	137250
10-14	2054-5	2186-2	26	F	12	52755
10-14	2054-5	2186-2	26	M	17	54661
10-14	2106-3	2186-2	26	F	30	218412
10-14	2106-3	2186-2	26	M	48	229867
10-14	2106-3	2186-2	27	F	12	129733
10-14	2106-3	2186-2	27	M	17	136050
10-14	2054-5	2186-2	28	F	11	43093
10-14	2054-5	2186-2	28	M	12	44465
10-14	2106-3	2186-2	28	M	23	53403
10-14	2054-5	2186-2	29	M	10	29258
10-14	2106-3	2186-2	29	F	19	144099
10-14	2106-3	2186-2	29	M	24	151863
10-14	2106-3	2186-2	32	F	12	36584
10-14	2054-5	2186-2	34	F	10	40066
10-14	2106-3	2186-2	34	F	14	143815
10-14	2106-3	2186-2	34	M	15	151258
10-14	2106-3	2135-2	35	M	11	38293
10-14	2106-3	2135-2	36	M	12	101381
10-14	2054-5	2186-2	36	F	15	95471
